domain,dr,monthly_traffic,language,category,price_eur,turnaround_days,sponsored_allowed,contact_email,notes
financieelvandaag.nl,64,185000,Dutch,Finance,450,12,true,partners@financieelvandaag.nl,"Banking, insurance, investing, fintech"
gezondlevenmagazine.nl,58,94000,Dutch,Health,390,10,true,ads@gezondlevenmagazine.nl,"Lifestyle, wellbeing, supplements with strict editorial review"
techupdate.nl,72,260000,Dutch,Technology,650,14,true,media@techupdate.nl,"SaaS, AI, cybersecurity, fintech, developer tools"
reiswereld.nl,61,145000,Dutch,Travel,420,9,true,sales@reiswereld.nl,"City trips, hotels, flights, family travel"
wooninspiratie.nl,55,88000,Dutch,Home & Living,350,8,true,plaatsingen@wooninspiratie.nl,"Interior, furniture, garden, DIY"
ondernemershub.nl,69,210000,Dutch,Business,590,11,true,media@ondernemershub.nl,"B2B, startups, fintech, HR, productivity, legal"
marketingfactsblog.nl,66,175000,Dutch,Marketing,510,13,true,partners@marketingfactsblog.nl,"SEO, content marketing, ecommerce, analytics"
autonieuws24.nl,62,132000,Dutch,Automotive,460,10,true,ads@autonieuws24.nl,"EV, leasing, car insurance, maintenance"
fintechpulse.com,74,390000,English,Finance,900,16,true,media@fintechpulse.com,"Fintech, payments, crypto policy, banking"
saasinsider.com,71,310000,English,Technology,820,15,true,partners@saasinsider.com,"SaaS, AI, cloud, engineering"
healthdaily.co,67,280000,English,Health,740,14,true,ads@healthdaily.co,"Wellness, fitness, mental health"
travelnorth.eu,59,120000,English,Travel,480,12,true,media@travelnorth.eu,"European travel, hotels, aviation"
hausundgarten.de,57,105000,German,Home & Living,430,10,true,anzeigen@hausundgarten.de,"Interior, gardening, renovation"
startupszene.de,68,195000,German,Business,620,13,true,media@startupszene.de,"Startups, SaaS, VC, founders"
marketingpro.de,63,150000,German,Marketing,540,12,true,anzeigen@marketingpro.de,"SEO, paid media, ecommerce"
santeplus.fr,60,118000,French,Health,500,11,true,partenariats@santeplus.fr,"Health, nutrition, wellness"
